# GPU: NVIDIA GeForce RTX 5090
# 2D EDT benchmark — ~1% random sites, best of 10 (compute-only, device-resident)
#
size   impl            time_ms       Mpix/s       Gpix/s    max_err
----   ----            -------       ------       ------    -------
256    ours-3Don2D      0.2279        287.6        0.288        ref
256    ours-2D          0.1128        580.8        0.581       0.00
256    NUS-PBA+         0.1105        593.1        0.593       0.00
256    NPP              0.0807        811.6        0.812       0.97
#
512    ours-3Don2D      0.4613        568.3        0.568        ref
512    ours-2D          0.1583       1655.6        1.656       0.00
512    NUS-PBA+         0.1556       1684.4        1.684       0.00
512    NPP              0.1074       2441.8        2.442       0.97
#
1024   ours-3Don2D      0.9384       1117.4        1.117        ref
1024   ours-2D          0.2438       4301.2        4.301       0.00
1024   NUS-PBA+         0.2379       4408.4        4.408       0.00
1024   NPP              0.1611       6508.6        6.509       0.97
#
2048   ours-2D          0.4424       9481.5        9.482       0.00
2048   NUS-PBA+         0.4239       9895.3        9.895       0.00
2048   NPP              0.3027      13856.3       13.856       0.97
#
4096   ours-2D          1.2400      13530.4       13.530       0.00
4096   NUS-PBA+         1.0926      15355.5       15.356       0.00
4096   NPP              0.9810      17102.0       17.102       0.97
#
